Emotion,Word,Count,Percentage
anger,abandoned,2,0.003530761761850119
anger,abolish,2,0.003530761761850119
anger,abuse,2,0.003530761761850119
anger,accusing,1,0.0017653808809250594
anger,aggression,1,0.0017653808809250594
anger,aggressive,1,0.0017653808809250594
anger,annoying,1,0.0017653808809250594
anger,antisocial,2,0.003530761761850119
anger,argue,2,0.003530761761850119
anger,argument,6,0.010592285285550358
anger,arguments,5,0.008826904404625299
anger,armament,1,0.0017653808809250594
anger,armed,2,0.003530761761850119
anger,attack,4,0.007061523523700238
anger,backbone,1,0.0017653808809250594
anger,bad,7,0.012357666166475418
anger,bang,1,0.0017653808809250594
anger,bankruptcy,2,0.003530761761850119
anger,battle,1,0.0017653808809250594
anger,bear,3,0.005296142642775179
anger,beating,1,0.0017653808809250594
anger,blame,6,0.010592285285550358
anger,blatant,2,0.003530761761850119
anger,bloody,2,0.003530761761850119
anger,bomb,1,0.0017653808809250594
anger,bombard,1,0.0017653808809250594
anger,broken,8,0.014123047047400476
anger,brunt,2,0.003530761761850119
anger,brutal,3,0.005296142642775179
anger,campaigning,1,0.0017653808809250594
anger,cancer,1,0.0017653808809250594
anger,cash,2,0.003530761761850119
anger,catastrophe,3,0.005296142642775179
anger,caution,1,0.0017653808809250594
anger,challenge,2,0.003530761761850119
anger,clash,2,0.003530761761850119
anger,coercion,1,0.0017653808809250594
anger,combat,3,0.005296142642775179
anger,complain,3,0.005296142642775179
anger,compulsion,1,0.0017653808809250594
anger,concealment,1,0.0017653808809250594
anger,condemn,1,0.0017653808809250594
anger,confinement,1,0.0017653808809250594
anger,confiscate,1,0.0017653808809250594
anger,conflict,6,0.010592285285550358
anger,contempt,4,0.007061523523700238
anger,contemptible,2,0.003530761761850119
anger,controversial,1,0.0017653808809250594
anger,coup,6,0.010592285285550358
anger,court,7,0.012357666166475418
anger,crazy,5,0.008826904404625299
anger,crime,7,0.012357666166475418
anger,criminal,5,0.008826904404625299
anger,criticism,4,0.007061523523700238
anger,criticize,1,0.0017653808809250594
anger,cross,1,0.0017653808809250594
anger,crusade,1,0.0017653808809250594
anger,cutting,1,0.0017653808809250594
anger,damage,8,0.014123047047400476
anger,death,3,0.005296142642775179
anger,deceive,1,0.0017653808809250594
anger,defense,33,0.05825756907052697
anger,delay,1,0.0017653808809250594
anger,delusion,2,0.003530761761850119
anger,demand,7,0.012357666166475418
anger,denounce,1,0.0017653808809250594
anger,deny,2,0.003530761761850119
anger,deplore,1,0.0017653808809250594
anger,deportation,1,0.0017653808809250594
anger,depreciate,2,0.003530761761850119
anger,deprivation,2,0.003530761761850119
anger,deserve,4,0.007061523523700238
anger,despair,1,0.0017653808809250594
anger,destroyed,1,0.0017653808809250594
anger,destroying,2,0.003530761761850119
anger,destruction,9,0.015888427928325535
anger,destructive,1,0.0017653808809250594
anger,devastating,3,0.005296142642775179
anger,dictatorial,1,0.0017653808809250594
anger,dictatorship,2,0.003530761761850119
anger,disagree,1,0.0017653808809250594
anger,disappointed,1,0.0017653808809250594
anger,disaster,9,0.015888427928325535
anger,disastrous,2,0.003530761761850119
anger,discrimination,1,0.0017653808809250594
anger,disease,5,0.008826904404625299
anger,disgrace,1,0.0017653808809250594
anger,disgraceful,2,0.003530761761850119
anger,disgusting,2,0.003530761761850119
anger,dishonest,1,0.0017653808809250594
anger,disinformation,2,0.003530761761850119
anger,disparage,2,0.003530761761850119
anger,displaced,1,0.0017653808809250594
anger,dispute,1,0.0017653808809250594
anger,dissolution,1,0.0017653808809250594
anger,dupe,1,0.0017653808809250594
anger,dying,6,0.010592285285550358
anger,endless,1,0.0017653808809250594
anger,enemy,1,0.0017653808809250594
anger,enforce,4,0.007061523523700238
anger,epidemic,2,0.003530761761850119
anger,eradicate,1,0.0017653808809250594
anger,exaggerate,2,0.003530761761850119
anger,expulsion,7,0.012357666166475418
anger,failing,1,0.0017653808809250594
anger,fatal,2,0.003530761761850119
anger,fear,7,0.012357666166475418
anger,fee,1,0.0017653808809250594
anger,feeling,3,0.005296142642775179
anger,feudalism,1,0.0017653808809250594
anger,fight,7,0.012357666166475418
anger,fighting,7,0.012357666166475418
anger,firearms,1,0.0017653808809250594
anger,fits,4,0.007061523523700238
anger,force,10,0.017653808809250597
anger,fraud,4,0.007061523523700238
anger,fuss,1,0.0017653808809250594
anger,glaring,1,0.0017653808809250594
anger,guilty,5,0.008826904404625299
anger,harass,1,0.0017653808809250594
anger,hate,3,0.005296142642775179
anger,hatred,9,0.015888427928325535
anger,hit,4,0.007061523523700238
anger,holocaust,3,0.005296142642775179
anger,homeless,1,0.0017653808809250594
anger,honest,12,0.021184570571100715
anger,horror,4,0.007061523523700238
anger,hostage,1,0.0017653808809250594
anger,hostility,3,0.005296142642775179
anger,hot,1,0.0017653808809250594
anger,hurting,1,0.0017653808809250594
anger,idiotic,1,0.0017653808809250594
anger,ill,16,0.02824609409480095
anger,illegal,9,0.015888427928325535
anger,immoral,1,0.0017653808809250594
anger,imprisoned,1,0.0017653808809250594
anger,imprisonment,4,0.007061523523700238
anger,inappropriate,1,0.0017653808809250594
anger,incompetent,2,0.003530761761850119
anger,indoctrination,1,0.0017653808809250594
anger,inequality,1,0.0017653808809250594
anger,injustice,2,0.003530761761850119
anger,insult,1,0.0017653808809250594
anger,insulting,1,0.0017653808809250594
anger,interrupt,2,0.003530761761850119
anger,intimidation,2,0.003530761761850119
anger,invasion,1,0.0017653808809250594
anger,lawyer,3,0.005296142642775179
anger,lie,8,0.014123047047400476
anger,limited,1,0.0017653808809250594
anger,lose,8,0.014123047047400476
anger,losing,4,0.007061523523700238
anger,loss,6,0.010592285285550358
anger,lying,3,0.005296142642775179
anger,madman,1,0.0017653808809250594
anger,madness,4,0.007061523523700238
anger,manipulation,2,0.003530761761850119
anger,massacre,4,0.007061523523700238
anger,misconception,1,0.0017653808809250594
anger,miserable,4,0.007061523523700238
anger,misery,1,0.0017653808809250594
anger,mob,2,0.003530761761850119
anger,money,57,0.1006267102127284
anger,monstrosity,2,0.003530761761850119
anger,murder,5,0.008826904404625299
anger,murderer,3,0.005296142642775179
anger,neglected,3,0.005296142642775179
anger,objection,1,0.0017653808809250594
anger,opponent,3,0.005296142642775179
anger,opposed,1,0.0017653808809250594
anger,opposition,16,0.02824609409480095
anger,ordeal,1,0.0017653808809250594
anger,perpetrator,1,0.0017653808809250594
anger,persecution,3,0.005296142642775179
anger,perversion,1,0.0017653808809250594
anger,politics,12,0.021184570571100715
anger,possession,1,0.0017653808809250594
anger,poverty,10,0.017653808809250597
anger,powerful,2,0.003530761761850119
anger,prisoner,1,0.0017653808809250594
anger,prohibited,2,0.003530761761850119
anger,punished,4,0.007061523523700238
anger,punishment,1,0.0017653808809250594
anger,punitive,2,0.003530761761850119
anger,rail,1,0.0017653808809250594
anger,rating,4,0.007061523523700238
anger,recession,1,0.0017653808809250594
anger,recklessness,1,0.0017653808809250594
anger,reject,5,0.008826904404625299
anger,rejects,1,0.0017653808809250594
anger,remove,2,0.003530761761850119
anger,resign,1,0.0017653808809250594
anger,resistance,3,0.005296142642775179
anger,restriction,2,0.003530761761850119
anger,reversal,1,0.0017653808809250594
anger,revolution,2,0.003530761761850119
anger,rifle,1,0.0017653808809250594
anger,rivalry,3,0.005296142642775179
anger,rob,1,0.0017653808809250594
anger,rocket,2,0.003530761761850119
anger,row,1,0.0017653808809250594
anger,ruined,5,0.008826904404625299
anger,ruinous,1,0.0017653808809250594
anger,ruthless,1,0.0017653808809250594
anger,scandalous,1,0.0017653808809250594
anger,scarcity,1,0.0017653808809250594
anger,sentence,6,0.010592285285550358
anger,sham,1,0.0017653808809250594
anger,shock,2,0.003530761761850119
anger,shortage,18,0.03177685585665107
anger,shot,1,0.0017653808809250594
anger,shout,1,0.0017653808809250594
anger,shove,1,0.0017653808809250594
anger,slap,1,0.0017653808809250594
anger,slave,1,0.0017653808809250594
anger,socialist,4,0.007061523523700238
anger,soldier,14,0.024715332332950837
anger,steal,1,0.0017653808809250594
anger,stolen,2,0.003530761761850119
anger,stone,1,0.0017653808809250594
anger,struggle,1,0.0017653808809250594
anger,subjugation,2,0.003530761761850119
anger,subsidy,5,0.008826904404625299
anger,suicide,10,0.017653808809250597
anger,suppress,4,0.007061523523700238
anger,terrible,2,0.003530761761850119
anger,terrorist,5,0.008826904404625299
anger,threat,5,0.008826904404625299
anger,threaten,1,0.0017653808809250594
anger,threatening,3,0.005296142642775179
anger,tolerate,2,0.003530761761850119
anger,torture,4,0.007061523523700238
anger,treacherous,1,0.0017653808809250594
anger,treat,4,0.007061523523700238
anger,trickery,1,0.0017653808809250594
anger,uncertain,1,0.0017653808809250594
anger,undesirable,1,0.0017653808809250594
anger,unfair,2,0.003530761761850119
anger,unhappy,1,0.0017653808809250594
anger,unjust,1,0.0017653808809250594
anger,unthinkable,1,0.0017653808809250594
anger,untrustworthy,1,0.0017653808809250594
anger,uprising,1,0.0017653808809250594
anger,versus,1,0.0017653808809250594
anger,veto,2,0.003530761761850119
anger,victim,3,0.005296142642775179
anger,violation,1,0.0017653808809250594
anger,violence,3,0.005296142642775179
anger,violent,1,0.0017653808809250594
anger,vote,25,0.04413452202312649
anger,warlike,1,0.0017653808809250594
anger,wasted,1,0.0017653808809250594
anger,words,23,0.04060376026127637
anticipation,abundance,1,0.0017653808809250594
anticipation,achievement,1,0.0017653808809250594
anticipation,advance,3,0.005296142642775179
anticipation,airport,1,0.0017653808809250594
anticipation,announcement,3,0.005296142642775179
anticipation,approaching,1,0.0017653808809250594
anticipation,art,3,0.005296142642775179
anticipation,attempt,4,0.007061523523700238
anticipation,ballot,1,0.0017653808809250594
anticipation,banquet,1,0.0017653808809250594
anticipation,begun,3,0.005296142642775179
