group,word,count
you,we,420
you,citizens,49
you,germans,2
you,home,13
you,german,41
you,our,170
you,homeland,1
you,people,106
you,us,45
you,citizen,5
they,immigrants,9
they,islamist,8
they,criminals,6
they,woke,2
they,arab,2
they,foreigners,1
they,them,20
they,they,148
they,migrants,5
they,leftists,1
threat,violence,10
threat,crisis,9
threat,invasion,1
threat,loss,10
threat,threat,9
threat,danger,5
threat,flood,1
threat,crime,13
threat,war,23
